page_number,response_content
34,"```json
{
  ""page_number"": 14,
  ""content"": ""CO opens, BTN calls, flop's 9♦ 8♥ 7♥ 2♣. BTN stabs 75% on the flop then overbets 125% on the turn."",
  ""questions"": ""Why does CO prefer calling with A♥ 5♥ but folds with overpairs and top pairs?"",
  ""graph_explanation"": {
    ""graph1"": ""The graph displays a matrix with various hand combinations. Each cell indicates a specific action for a given hand pre-flop, such as 'fold,' 'call,' or 'raise.' The colors in the matrix likely represent different strategic actions: green for probable calling hands, blue for likely raising hands, and red for folding hands. The matrix covers hand ranges from high-value cards (e.g., AKs, AQs) to low-value unsuited hands (e.g., K9o, Q8o). The detailed matrix can help analyze pre- and post-flop strategies, showing the strength of each hand against the board. It also suggests how the combinations (like offsuit and suited cards) might alter strategic play (e.g., AKs vs. AKo).""
  }
}
```"
35,"```json
{
  ""Page Number"": 14,
  ""Content"": ""This is due to implied odds. The BTN turn overbet represents two pair+, so CO's top pair and overpairs are relatively static bluff-catchers facing this range. However, a hand like A♥5♥ has implied odds to call and try to outdraw the top of BTN's range. CO can generate extra money when they hit without donating more when they miss, increasing the upside of calling."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Card"": ""A♥5♥"",
      ""Board Dynamics"": ""1♠, 2♦"",
      ""Actions and EV"": {
        ""Allin"": ""138%, EV 1.04"",
        ""Raise"": ""50%, EV 1.09"",
        ""Call"": ""EV 1.55"",
        ""Fold"": ""EV 0""
      }
    }
  }
}
```"
36,"```json
{
  ""Page Number"": 15,
  ""Content"": ""EQ buckets - Simple\n\nHands are separated by their Equity:\n\nBest hands 100%-75%\nGood hands 75%-50%\nWeak hands 50%-33%\nTrash hands 33%-0%\n\nRange-vs-range equity is often thought of as a single number.\n\nHowever, it's possible to view equity as a distribution instead to provide better strategic insight."",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
37,"```json
{
  ""page_number"": 15,
  ""content"": ""For example, you can use equity buckets to group similar hands together.\n\nIn this case, even though the equity is 50%/50%, we can see that one player is much more polarized than the other.\n\nThis gives them a major advantage!"",
  ""graph_explanation"": {
    ""graph1"": {
      ""COMBOS"": ""48.1% vs 22.2%"",
      ""EQUITY"": ""50% vs 50%"",
      ""EV"": ""17 vs 28.2"",
      ""EQ BUCKETS - SIMPLE"": {
        ""BEST HANDS"": ""12% vs 39.2%"",
        ""GOOD HANDS"": ""43.8% vs 16%"",
        ""WEAK HANDS"": ""21.1% vs 0%"",
        ""TRASH HANDS"": ""23.1% vs 44.8%""
      }
    }
  }
}
```"
38,"```json
{
  ""Page Number"": 16,
  ""Content"": ""A backdoor refers to your hand's ability to pick up a draw on the turn. Good players pay much closer attention to backdoors than novices."",
  ""Questions"": ""Why is that?"",
  ""Graph Explanation"": null
}
```"
39,"```json
{
  ""Page Number"": 38,
  ""Content"": ""Backdoors give your hand better \""visibility\"". This means you'll be able to barrel more turns, realize more equity, and have more flexibility to navigate later streets. For example, on Q♥7♦5♣, a hand like T♥8♥ can turn a draw on any 6, 9, J, or ♥. That's 19 different turn cards!"",
  ""Graph Explanation"": {
    ""graph1"": ""Illustrates the board of cards: Q of hearts, 7 of diamonds, 5 of clubs. The graph demonstrates how backdoor drawing potential increases visibility and flexibility. It exemplifies how a hand like T of hearts and 8 of hearts can form a draw on turn cards including 6, 9, J, or any heart suit.""
  }
}
```"
40,"```json
{
  ""Page Number"": 17,
  ""Content"": ""Poker is a high-variance game. As humans, we often struggle to conceptualize just how swingy this game can be. Try using a poker variance calculator. Every player should do this at some point. This exercise helps with expectation management and long-term tilt control."",
  ""Graph Explanation"": ""The graph depicts a balance scale with 'LUCK?' on one side and 'SKILL?' on the other, representing the balance between luck and skill in poker. The presence of small symbols in the form of suits (hearts, spades, clubs, diamonds) around the scale suggests the involvement of card suits, symbolizing the game's chance elements.""
}
```"
41,"```json
{
  ""pageNumber"": 17,
  ""content"": ""Imagine you win at 5 bb/100. You have a standard deviation of 100 bb/100.\n\nOver 100 hands, you'd expect to win 5bb ± 100bb.\n\nOver 10,000 hands, you'd come out ahead only 70% of the time.\n\nOver 100,000 hands, you'd come out ahead 95% of the time."",
  ""graphExplanation"": ""The graph displays samples over 100,000 hands and confidence intervals, indicating a 5.00 BB/100 win rate and a 100.00 BB/100 standard deviation. The lines represent the following:\n- EV (Expected Value)\n- 70% confidence interval\n- 95% confidence interval\n- Best case\n- Worst case\nThe x-axis shows the number of hands (10,000 to 100,000), and the y-axis shows the amount in BB. The graph illustrates variance in poker with best and worst runs out of 1000 trials.""
}
```"
42,"```json
{
  ""Page Number"": 17,
  ""Content"": ""After 50,000 hands: You'd expect to win 25 buy-ins on average.\n\nHowever, due to variance: 70% of the time you'd win between 2 - 47 buy-ins.\n95% of the time your results would be between losing 20 buy-ins and winning 70 buy-ins."",
  ""Graph Explanation"": {
    ""graph1"": {
      ""Hands"": ""50000"",
      ""Expected winnings"": ""2500.00 BB"",
      ""Standard deviation after 50000 hands"": ""2236 BB, 4.47 BB/100"",
      ""70% confidence interval"": ""[264 BB, 4736 BB], [0.53 BB/100, 9.47 BB/100]"",
      ""95% confidence interval"": ""[-1972 BB, 6927 BB], [-3.94 BB/100, 13.94 BB/100]""
    }
  }
}
```"
43,"```json
{
  ""Page Number"": 18,
  ""Content"": ""The first thing you notice about solvers is that they seem to love mixing strategies. Every hand gets thrown into every line. Why is that?"",
  ""Graph Explanation"": {
    ""Graph1"": {
      ""Title"": ""Mixed Strategies"",
      ""Graph Details"": ""The graph illustrates various betting strategies for a specific poker hand situation involving Queen of spades and Queen of diamonds. The percentages and corresponding actions are as follows: All-in 1617%, Bet 321% 0.5%, Bet 252% 1.1%, Bet 183% 10.4%, Bet 138% 11.6%, Bet 115% 8.5%, Bet 92% 5.6%, Bet 75% 0.8%, Bet 63% 1.1%, Bet 54% 1.6%, Bet 46% 3.1%, Bet 38% 5.6%, Bet 29% 10.1%, Bet 21% 15.4%, Check 24.6%.""
    }
  }
}
```"
44,"```json
{
  ""Page Number"": 18,
  ""Content"": ""You should always choose the best strategy.\n\nWhen a solver mixes between actions, those actions should (theoretically) have the same EV.\n\nThat means against an unchanging GTO player, you could pick any of those mixed actions at any frequency and never lose EV.\n\nSo why does it bother to mix then?"",
  ""Graph Explanation"": ""The graph shows a matrix of hand combinations and their associated actions for optimal strategy using a mixed approach. Hands like AKs, AQs, AJs, etc., are listed on the rows, while AKs, AQs, AJs, etc., also feature in columns. The colors indicate different strategy mixes, with red showing a tendency towards one action (likely fold or aggressive play) and black showing more balanced or mixed actions. '22' indicates specific action choices for the pocket pairs of deuces depending on the context. The cards Q♠ 9♥ 6♥ indicates a board scenario influencing the mixed strategy.""
}
```"
45,"```json
{
  ""Page Number"": 44,
  ""Content"": ""We mix to remain unexploitable.\n\nIf you check all your weak hands and bet all your strong hands, even if everything is mixed in GTO, an exploitative opponent can punish you severely.\n\nThey would simply overfold against your bet and attack your checks."",
  ""Questions"": null,
  ""Graph Explanation"": null
}
```"
46,"```json
{
  ""Page Number"": 19,
  ""Content"": ""Bluff-catching is arguably one of the most difficult skills to learn in poker.\n\nBefore you hit that call button, you should ask yourself three questions:\n\n1: Do I beat a bluff?\n\n2: Are they bluffing often enough that I have pot odds to call?\n\n3: Does my hand block their value bets and/or unblock their bluffs?"",
  ""Questions"": [
    ""Do I beat a bluff?"",
    ""Are they bluffing often enough that I have pot odds to call?"",
    ""Does my hand block their value bets and/or unblock their bluffs?""
  ]
}
```"
47,"```json
{
  ""Page Number"": 19,
  ""Graph Explanation"": {
    ""step1"": ""Villain makes a pot-sized river bet."",
    ""step2"": ""Evaluate: Do I beat their value hands? If 'Yes', proceed to 'Call'. If 'No', continue to the next evaluation."",
    ""step3"": ""Evaluate: Do I beat their bluffs? If 'Yes', proceed to 'Call'. If 'No', continue to the next evaluation."",
    ""step4"": ""Evaluate: Are they bluffing at least 33% of the time? If 'Yes', proceed to 'Call'. If 'More', continue to the next evaluation."",
    ""step5"": ""Evaluate: Do I block their value and/or unblock their bluffs? If 'Yes', proceed to 'Call'. If 'Close' or 'Less', proceed to 'Fold'.""
  }
}
```"
48,"```json
{
  ""page"": 20,
  ""content"": ""A 'nut advantage' refers to when one player has an advantage in the nutted part of their range, relative to their opponent.\n\nBut why is this relevant?"",
  ""graphExplanation"": {
    ""equityDistributionGraph"": ""The graph titled 'Equity Distribution Graph' shows the equity distribution for two players, labeled as SB (Small Blind) and BTN (Button). The x-axis represents the range of hands, while the y-axis shows the percentage of equity. The SB line is shown in blue, indicating how the equity percentage changes over their hand range. The BTN line, depicted in green, illustrates a different equity distribution curve. The nut advantage area is highlighted where the BTN line surpasses the SB line, indicating a stronger hand range in that portion.""
  }
}
```"
49,"```json
{
  ""Page Number"": 20,
  ""Content"": ""The nut advantage dictates how much you can polarize, and how large you can bet.\n\nBetting larger narrows your opponent's range quickly, so it's important that your value bets can extract money from the top of villain's range when they call down."",
  ""Graph Explanation"": {
    ""graph1"": ""The graph is titled 'EQ BUCKETS - ADVANCED' and categorizes hands into percentage ranges with corresponding percentages:\n- 1.6% HANDS 90-100 has 24.5% equity\n- 0% HANDS 80-90 has 10.9% equity\n- 15.6% HANDS 70-80 has 17.2% equity\n- 7% HANDS 60-70 has 1.8% equity\n- 31.6% HANDS 50-60 has 0.8% equity\n- 36.5% HANDS 25-50 has 12.2% equity\n- 7.7% HANDS 0-25 has 32.6% equity\nThe graph visually represents how different buckets of hands have varying levels of equity, indicating strategic insights into the hand ranges and potential betting strategies.""
  }
}
```"
50,"```json
{
  ""Page Number"": 21,
  ""Content"": ""In this BB vs BU SRP scenario, BB is facing a 125% overbet from the button on a Q♥ J♥ 7♦ flop. Why is BB folding top pair hands like Q9 and Q8s?"",
  ""Questions"": ""Why is BB folding top pair hands like Q9 and Q8s?"",
  ""Graph Explanation"": ""The graph represents a decision matrix for the Big Blind (BB) facing a 125% overbet from the Button (BU) on a flop of Q♥ J♥ 7♦. Each cell in the matrix corresponds to a specific starting hand, showing the recommended action: fold, call, or raise. The hands are color-coded, where green likely indicates calling or continuing, red indicates folding, and blue or other colors may represent raising or alternative actions. The matrix helps visualize which hands are likely strong enough to continue in the face of an overbet and which should be folded, including top pair hands like Q9 and Q8s that are surprisingly recommended to fold in this scenario.""
}
```"
51,"```json
{
  ""Page Number"": 21,
  ""Content"": ""Step into Button's overbetting range. Combine betting, suit, and equity filters to separate their bluffs from their value bets."",
  ""Graph Explanation"": {
    ""Graph1"": {
      ""Title"": ""Using Filters to Examine Blockers"",
      ""Details"": [
        {
          ""Bet 125%"": {
            ""Combos"": ""29.01"",
            ""Percentage"": ""13.7%""
          }
        },
        {
          ""Bet 75%"": {
            ""Combos"": ""35.06"",
            ""Percentage"": ""16.5%""
          }
        },
        {
          ""Bet 50%"": {
            ""Combos"": ""15.96"",
            ""Percentage"": ""7.5%""
          }
        },
        {
          ""Bet 33%"": {
            ""Combos"": ""6.82"",
            ""Percentage"": ""3.1%""
          }
        },
        {
          ""Check"": {
            ""Combos"": ""125.55"",
            ""Percentage"": ""59.2%""
          }
        }
      ],
      ""Filters"": {
        ""Hands"": {
          ""Set"": ""1.9%"",
          ""Two pair"": ""2.7%"",
          ""Overpair"": ""2.5%"",
          ""Top pair"": ""12.5%"",
          ""Second pair"": ""12.5%"",
          ""Third pair"": ""10.3%"",
          ""Low pair"": ""5.8%"",
          ""Ace high"": ""26.7%"",
          ""King high"": ""13.3%"",
          ""No made hand"": ""10.7%""
        },
        ""Draws"": {
          ""Combo draw"": ""1.4%"",
          ""Flush draw"": ""5.1%"",
          ""Oesd"": ""6.2%"",
          ""Gutshot"": ""12.4%"",
          ""No draw"": ""74.9%""
        },
        ""Equity Buckets"": {
          ""Best hands"": ""15.3%"",
          ""Good hands"": ""40.8%"",
          ""Weak hands"": ""27%"",
          ""Trash hands"": ""16.8%""
        }
      },
      ""Board"": ""Q♠ J♠ 7♠""
    }
  }
}
```"
52,"```json
{
  ""Page Number"": 21,
  ""Content"": ""USING FILTERS TO EXAMINE BLOCKERS. We can see that 9's and 8's heavily block BTN's bluffing range, which means they're more likely to hold a value hand when we hold an 8 or a 9."",
  ""Graph Explanation"": ""The graph displays a matrix of hands filtered for trash/weak hands in the BTN 125% flop overbet range. The matrix indicates various hand combinations, showcasing how specific hands like KTs, KQs, and 98s may be present within this range. The visualization highlights blockers, showing particularly strong intersections for certain hands that can affect BTN's bluffing frequency. This is relevant for understanding how holding 9's and 8's affects the probability of BTN holding a value hand versus a bluff.""
}
```"
53,"```json
{
  ""Page Number"": 22,
  ""Content"": ""A natural step in the thought process from novice to advanced player is the ability to 'think in ranges'. This can often seem like a daunting task, but it becomes much easier when you start thinking of ranges as 'structures' rather than trying to visualize all 1326 combinations of starting hands in your head. You may have heard terms such as 'polarized', 'linear', 'condensed', or 'merged', but what do these terms actually mean?""
}
```"
54,"```json
{
  ""page_number"": 22,
  ""content"": ""A polarized range represents strong and weak hands.\n\nA Linear range represents top-down strong to medium hands.\n\nA Condensed range represents mostly medium hands, and a Merged range is something in between a polarized and linear range."",
  ""graph_explanation"": {
    ""graph1"": ""This graph shows the relationship between hand strength and different range types: Polarized, Linear, Condensed, and Merged. The matrix has rows and columns marked by different range types and their corresponding hand strengths, ranging from 0 to 1. For Polarized: 1, 0.8, 0.7, 0.2, 0, 0, 0.2, 0.7, 1. For Linear: 1, 1, 0.8, 0.6, 0.4, 0.2, 0, 0, 0. For Condensed: 0, 0.2, 0.4, 0.8, 1, 0.4, 0, 0, 0. For Merged: 1, 0.8, 0.7, 0, 0.25, 0.4, 0.25, 0.2, 0.7, 1. The darker shades represent higher hand strengths.""
  }
}
```"
55,"```json
{
  ""Page Number"": 54,
  ""Content"": ""One of the crucial questions to consider when assessing the implied odds of your hand is whether it has the potential to draw to the nuts.\n\nThis is because a significant portion of your expected value hinges on your ability to outdraw your opponent's value range, which is where the largest pots are won.\n\nHaving nut potential enables you to extract more value from your opponents when you complete your draw."",
  ""Questions"": """",
  ""Graph Explanation"": """"
}
```"
