evaluator_id,prompt_id,in_game_rating_ft,in_game_rating_base,post_game_rating_ft,post_game_rating_base
18,14,4,3,3,2
18,15,5,4,5,3
18,16,4,2,5,4
18,17,5,4,4,5
18,18,4,3,5,2
18,19,5,4,5,4
18,20,5,4,4,3
19,1,4,4,4,4
19,2,5,3,5,3
19,3,3,5,4,5
19,4,4,3,5,4
19,5,4,4,5,4
19,6,3,4,4,5
19,7,5,4,5,4
19,8,4,3,4,3
19,9,5,4,4,3
19,10,5,2,5,2
19,11,4,4,4,5
19,12,5,4,5,4
19,13,3,4,2,4
19,14,4,2,4,2
19,15,5,3,5,3
19,16,4,3,4,4
19,17,5,5,5,4
19,18,4,4,4,3
19,19,5,3,5,3
19,20,5,4,5,3
20,1,5,4,4,3
20,2,4,3,5,4
20,3,4,5,4,4
20,4,3,2,4,2
20,5,5,4,5,3
20,6,4,4,3,4
20,7,5,3,5,3
20,8,4,4,4,5
20,9,3,4,4,4
20,10,5,3,5,2
20,11,4,2,4,3
20,12,5,4,5,4
20,13,3,5,2,4
20,14,4,3,3,2
20,15,5,4,5,3
20,16,4,2,5,4
20,17,5,4,4,5
20,18,4,3,5,2
20,19,5,4,5,4
20,20,5,4,4,3
